"TransactionID","Transaction_Date","Price","Total_Price","Discount_Price","Quantity","CustomerID","ProductID","PMID","VoucherID","Voucher_status","Discount"
1004689,2021-03-17,554850,499365,55485,1,12350,"GGOEAAAJ032415","PM02","ELEC10","Used","10%"
1008838,2021-01-30,299700,269730,29970,1,12359,"GGOEAAAJ032425","PM01","ELEC10","Used","10%"
1004098,2021-01-29,584850,584850,0,1,12373,"GGOEAAAJ032435","PM04","ELEC30","Clicked",""
1008599,2021-05-08,374850,674730,37485,2,12383,"GGOEAAAJ032445","PM02","ELEC10","Used","10%"
1009828,2021-03-18,374850,16868250,0,45,12393,"GGOEAAAJ032455","PM01","OFF20","Clicked",""
1004612,2021-05-13,148350,267030,59340,3,12410,"GGOEWEBB082199","PM04","ELEC40","Used","40%"
1004683,2021-12-21,148350,89010,59340,1,12414,"GGOEWEBB082199","PM03","ELEC40","Used","40%"
1000038,2021-04-24,148350,89010,59340,1,12431,"GGOEWEBB082199","PM03","ELEC40","Used","40%"
1003943,2021-07-23,148350,712080,59340,8,12433,"GGOEWEBB082199","PM03","ELEC40","Used","40%"
1004678,2021-06-15,148350,89010,59340,1,12437,"GGOEWEBB082199","PM02","ELEC40","Used","40%"
1007704,2021-03-21,148350,89010,59340,1,12464,"GGOEWEBB082199","PM03","ELEC40","Used","40%"
1001689,2021-07-15,554850,499365,55485,1,12471,"GGOEAAAJ032415","PM01","ELEC10","Used","10%"
1003781,2021-01-25,554850,499365,55485,1,12472,"GGOEAAAJ032415","PM01","ELEC10","Used","10%"
1009730,2021-05-14,554850,499365,55485,1,12474,"GGOEAAAJ032415","PM02","ELEC10","Used","10%"
1004404,2021-12-19,554850,998730,55485,2,12477,"GGOEAAAJ032415","PM02","ELEC10","Used","10%"
1009664,2021-09-27,554850,499365,55485,1,12480,"GGOEAAAJ032415","PM01","ELEC10","Used","10%"
1008437,2021-09-25,554850,499365,55485,1,12481,"GGOEAAAJ032415","PM01","ELEC10","Used","10%"
1009858,2021-01-10,554850,499365,55485,1,12484,"GGOEAAAJ032415","PM02","ELEC10","Used","10%"
1009444,2021-11-28,554850,1498095,55485,3,12489,"GGOEAAAJ032415","PM01","ELEC10","Used","10%"
1009738,2021-05-24,554850,499365,55485,1,12490,"GGOEAAAJ032415","PM02","ELEC10","Used","10%"
1008465,2021-07-10,554850,499365,55485,1,12501,"GGOEAAAJ032415","PM02","ELEC10","Used","10%"
1005021,2021-08-08,299700,539460,29970,2,12502,"GGOEAAAJ032425","PM01","ELEC10","Used","10%"
1005022,2021-07-12,299700,269730,29970,1,12503,"GGOEAAAJ032425","PM03","ELEC10","Used","10%"
1005023,2021-07-04,299700,269730,29970,1,12504,"GGOEAAAJ032425","PM03","ELEC10","Used","10%"
1005024,2021-08-03,299700,539460,29970,2,12505,"GGOEAAAJ032425","PM03","ELEC10","Used","10%"
1005025,2021-01-17,299700,269730,29970,1,12506,"GGOEAAAJ032425","PM01","ELEC10","Used","10%"
1005026,2021-01-30,299700,1348650,29970,5,12507,"GGOEAAAJ032425","PM01","ELEC10","Used","10%"
1005027,2021-11-05,299700,269730,29970,1,12508,"GGOEAAAJ032425","PM03","ELEC10","Used","10%"
1005028,2021-05-28,299700,269730,29970,1,12509,"GGOEAAAJ032425","PM01","ELEC10","Used","10%"
1005029,2021-09-12,584850,584850,0,1,12510,"GGOEAAAJ032435","PM04","ELEC30","Clicked",""
1005030,2021-08-18,584850,584850,0,1,12511,"GGOEAAAJ032435","PM03","ELEC30","Not Used",""
1005031,2021-05-28,584850,2339400,0,4,12512,"GGOEAAAJ032435","PM03","ELEC30","Not Used",""
1005032,2021-09-15,584850,584850,0,1,12513,"GGOEAAAJ032435","PM01","ELEC30","Not Used",""
1005033,2021-06-23,584850,584850,0,1,12514,"GGOEAAAJ032435","PM04","ELEC30","Clicked",""
1005034,2021-01-28,584850,3509100,0,6,12515,"GGOEAAAJ032435","PM03","ELEC30","Clicked",""
1005035,2021-06-18,584850,584850,0,1,12516,"GGOEAAAJ032435","PM04","ELEC30","Not Used",""
1005036,2021-09-09,584850,584850,0,1,12517,"GGOEAAAJ032435","PM01","ELEC30","Not Used",""
1005801,2021-11-30,584850,5848500,0,10,12518,"GGOEAAAJ032435","PM03","ELEC30","Clicked",""
